Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,Fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
MAZ9C006H4,G13G23Denali_v1.1.0.7.mot,5.47539,38.0669,'BG95M3LAR02A03_,'861059063352565,'89460800235154569432,6.09210,32.7681996260501,3.3803,26.9802,-,PASS,2023.01.27 09:01:29,SST Denali#3,5230124001852,71047,2023.01.27 08:59:02,2023.01.27 09:01:29,'00:02:27,-,'-,-,'0000000002,3.73226,OK,OK,OK,1,684,22.55028,61.69128,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006J4,G13G23Denali_v1.1.0.7.mot,5.43544,45.7039,'BG95M3LAR02A03_,'861059063351187,'89460800235154569499,-2.86307,32.7679061829217,3.05953,26.6097,-,PASS,2023.01.27 09:01:44,SST Denali#3,5230124001833,71047,2023.01.27 08:59:09,2023.01.27 09:01:44,'00:02:35,-,'-,-,'0000000002,3.7036,OK,OK,OK,1,686,22.47551,62.44965,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006P4,G13G23Denali_v1.1.0.7.mot,5.46275,83.9784,'BG95M3LAR02A03_,'861059063351088,'89460800235154566313,6.17677,32.7682024003701,3.36858,24.9667,-,PASS,2023.01.27 09:03:23,SST Denali#3,5230124001870,71047,2023.01.27 08:59:37,2023.01.27 09:03:23,'00:03:46,-,'-,-,'0000000002,3.70854,OK,OK,OK,1,689,22.95616,61.15112,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006A4,G13G23Denali_v1.1.0.7.mot,5.47502,44.4019,'BG95M3LAR02A03_,'861059063351039,'89460800235154566305,-0.86377,32.7679716960833,3.52124,27.0696,-,PASS,2023.01.27 09:03:46,SST Denali#3,5230124001872,71047,2023.01.27 08:59:55,2023.01.27 09:03:46,'00:03:51,-,'-,-,'0000000002,3.7079,OK,OK,OK,1,659,22.92145,61.12671,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C00644,G13G23Denali_v1.1.0.7.mot,5.46354,77.9211,'BG95M3LAR02A03_,'861059063351070,'89460800235154566339,9.19261,32.7683012235568,3.52114,23.5988,-,PASS,2023.01.27 09:03:04,SST Denali#3,5230124001869,71047,2023.01.27 08:59:19,2023.01.27 09:03:04,'00:03:45,-,'-,-,'0000000002,3.72959,OK,OK,OK,1,751,22.52357,61.65009,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006B4,G13G23Denali_v1.1.0.7.mot,5.47465,46.1044,'BG95M3LAR02A03_,'861059063351393,'89460800235154569648,22.72933,32.7687447946392,3.33938,28.6951,-,PASS,2023.01.27 08:59:44,SST Denali#3,5230124001893,71047,2023.01.27 08:55:26,2023.01.27 08:59:44,'00:04:18,-,'-,-,'0000000002,3.72864,OK,OK,OK,1,721,22.93213,61.58447,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C005W4,G13G23Denali_v1.1.0.7.mot,5.46626,93.4075,'BG95M3LAR02A03_,'861059063352334,'89460800235154569374,15.88975,32.7685206752335,3.3937,23.1911,-,PASS,2023.01.27 08:58:51,SST Denali#3,5230124001851,71047,2023.01.27 08:55:25,2023.01.27 08:58:51,'00:03:26,-,'-,-,'0000000002,3.71166,OK,OK,OK,1,768,22.69447,60.83527,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C00434,G13G23Denali_v1.1.0.7.mot,5.47543,41.2952,'BG95M3LAR02A03_,'861059063351294,'89460800235154569531,11.54530,32.7683783164706,3.36244,23.4305,-,PASS,2023.01.27 09:03:47,SST Denali#3,5230124001884,71047,2023.01.27 09:01:40,2023.01.27 09:03:47,'00:02:07,-,'-,-,'0000000002,3.74297,OK,OK,OK,1,737,22.71049,62.04529,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006K4,G13G23Denali_v1.1.0.7.mot,5.46399,90.7804,'BG95M3LAR02A03_,'861059063357564,'89460800235154569424,10.88308,32.7683566167157,3.25492,26.1416,-,PASS,2023.01.27 08:59:06,SST Denali#3,5230124001810,71047,2023.01.27 08:55:25,2023.01.27 08:59:06,'00:03:41,-,'-,-,'0000000002,3.71047,OK,OK,OK,1,761,22.64107,61.60126,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
MAZ9C006M4,G13G23Denali_v1.1.0.7.mot,5.46622,80.7085,'BG95M3LAR02A03_,'861059063357770,'89460800235154569259,-1.47249,32.7679517494848,3.33865,27.9333,-,PASS,2023.01.27 09:03:28,SST Denali#3,5230124001827,71047,2023.01.27 08:59:20,2023.01.27 09:03:28,'00:04:08,-,'-,-,'0000000002,3.7171,OK,OK,OK,1,772,22.88673,60.64301,OK,PASS,PASS,PASS,PASS,PASS,PASS,0101000007
