Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KD69H00364,application-v0.0.0.107.srec,5.43528,-,'BG95M3LAR02A03_0,'864593055297385,'89460800235135944035,-,-,6.8791,25.6836,,PASS,2022.04.04 17:21:50,SST Denali Nextgen#1,36027,2022.04.04 17:20:32,2022.04.04 17:21:50,'00:01:18,'2,-,OK,OK,OK,4,400,24.72,53.6,OK,-,-,-,-,-,-,'0001070000,
KD69H00384,application-v0.0.0.107.srec,5.45618,-,'BG95M3LAR02A03_0,'864593055297237,'89460800235135944134,-,-,7.04235,24.2288,,PASS,2022.04.04 16:55:01,SST Denali Nextgen#1,36027,2022.04.04 16:54:01,2022.04.04 16:55:01,'00:01:00,'2,-,OK,OK,OK,4,400,24.72,54,OK,-,-,-,-,-,-,'0001070000,
KD69H003R4,application-v0.0.0.107.srec,5.45595,-,'BG95M3LAR02A03_0,'863940052847822,'89460800235135944696,-,-,6.92959,28.5257,,PASS,2022.04.04 16:56:20,SST Denali Nextgen#1,36027,2022.04.04 16:55:17,2022.04.04 16:56:20,'00:01:03,'2,-,OK,OK,OK,4,400,24.67,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H003A4,application-v0.0.0.107.srec,5.45609,-,'BG95M3LAR02A03_0,'864593055296650,'89460800235135943805,-,-,6.98758,27.0371,,PASS,2022.04.04 16:53:46,SST Denali Nextgen#1,36027,2022.04.04 16:52:43,2022.04.04 16:53:46,'00:01:03,'2,-,OK,OK,OK,4,400,24.72,53.6,OK,-,-,-,-,-,-,'0001070000,
KD69H002P4,application-v0.0.0.107.srec,5.45615,-,'BG95M3LAR02A03_0,'864593055296585,'89460800235135944704,-,-,7.00247,24.4896,,PASS,2022.04.04 16:52:22,SST Denali Nextgen#1,36027,2022.04.04 16:51:19,2022.04.04 16:52:22,'00:01:03,'2,-,OK,OK,OK,4,400,24.72,53.8,OK,-,-,-,-,-,-,'0001070000,
KD69H001H4,application-v0.0.0.107.srec,5.45636,-,'BG95M3LAR02A03_0,'864593055297260,'89460800235135945255,-,-,6.78222,25.4168,,PASS,2022.04.04 17:07:27,SST Denali Nextgen#1,36027,2022.04.04 17:06:24,2022.04.04 17:07:27,'00:01:03,'2,-,OK,OK,OK,4,400,24.72,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H002H4,application-v0.0.0.107.srec,5.45631,-,'BG95M3LAR02A03_0,'864593055296817,'89460800235135944118,-,-,6.82069,25.0962,,PASS,2022.04.04 17:05:41,SST Denali Nextgen#1,36027,2022.04.04 17:04:37,2022.04.04 17:05:41,'00:01:04,'2,-,OK,OK,OK,4,391,24.72,54,OK,-,-,-,-,-,-,'0001070000,
KD69H002K4,application-v0.0.0.107.srec,5.45618,-,'BG95M3LAR02A03_0,'864593055297153,'89460800235135944100,-,-,6.7336,24.5451,,PASS,2022.04.04 17:52:42,SST Denali Nextgen#1,36027,2022.04.04 17:51:41,2022.04.04 17:52:42,'00:01:01,'2,-,OK,OK,OK,4,400,24.44,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H00204,application-v0.0.0.107.srec,5.45612,-,'BG95M3LAR02A03_0,'864593055297443,'89460800235135943706,-,-,7.06421,24.6799,,PASS,2022.04.04 17:54:16,SST Denali Nextgen#1,36027,2022.04.04 17:53:14,2022.04.04 17:54:16,'00:01:02,'2,-,OK,OK,OK,4,400,24.33,54.5,OK,-,-,-,-,-,-,'0001070000,
KD69H002B4,application-v0.0.0.107.srec,5.45643,-,'BG95M3LAR02A03_0,'863940052845149,'89460800235135945222,-,-,6.69987,25.135,,PASS,2022.04.04 17:50:27,SST Denali Nextgen#1,36027,2022.04.04 17:49:24,2022.04.04 17:50:27,'00:01:03,'2,-,OK,OK,OK,4,400,24.44,54.3,OK,-,-,-,-,-,-,'0001070000,
KD69H00454,application-v0.0.0.107.srec,5.45597,-,'BG95M3LAR02A03_0,'864593055296445,'89460800235135945248,-,-,7.1741,26.9529,,PASS,2022.04.04 17:26:14,SST Denali Nextgen#1,36027,2022.04.04 17:25:13,2022.04.04 17:26:14,'00:01:01,'2,-,OK,OK,OK,4,400,24.72,53.6,OK,-,-,-,-,-,-,'0001070000,
KD69H000D4,application-v0.0.0.107.srec,5.45624,-,'BG95M3LAR02A03_0,'864593055296973,'89460800235135943698,-,-,6.90034,26.5844,,PASS,2022.04.04 16:57:41,SST Denali Nextgen#1,36027,2022.04.04 16:56:40,2022.04.04 16:57:41,'00:01:01,'2,-,OK,OK,OK,4,400,24.61,53.7,OK,-,-,-,-,-,-,'0001070000,
KD69H001A4,application-v0.0.0.107.srec,5.45632,-,'BG95M3LAR02A03_0,'864593055297294,'89460800235135945099,-,-,7.05739,27.579,,PASS,2022.04.04 17:17:18,SST Denali Nextgen#1,36027,2022.04.04 17:16:15,2022.04.04 17:17:18,'00:01:03,'2,-,OK,OK,OK,4,400,24.94,53.3,OK,-,-,-,-,-,-,'0001070000,
KD69H004M4,application-v0.0.0.107.srec,5.45597,-,'BG95M3LAR02A03_0,'864593055297252,'89460800235135944092,-,-,6.85791,24.3409,,PASS,2022.04.04 16:51:02,SST Denali Nextgen#1,36027,2022.04.04 16:50:03,2022.04.04 16:51:02,'00:00:59,'2,-,OK,OK,OK,4,400,24.56,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H001J4,application-v0.0.0.107.srec,5.45603,-,'BG95M3LAR02A03_0,'864593055297518,'89460800235135945131,-,-,6.67879,25.2844,,PASS,2022.04.04 16:49:42,SST Denali Nextgen#1,36027,2022.04.04 16:48:39,2022.04.04 16:49:42,'00:01:03,'2,-,OK,OK,OK,4,400,24.78,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H002Q4,application-v0.0.0.107.srec,5.45646,-,'BG95M3LAR02A03_0,'864593055297039,'89460800235135944001,-,-,6.67972,26.3898,,PASS,2022.04.04 14:00:57,SST Denali Nextgen#1,36027,2022.04.04 13:59:54,2022.04.04 14:00:57,'00:01:03,'2,-,OK,OK,OK,4,316,24.28,55.3,OK,-,-,-,-,-,-,'0001070000,
KD69H00244,application-v0.0.0.107.srec,5.45613,-,'BG95M3LAR02A03_0,'864593055297567,'89460800235135945032,-,-,7.01174,21.8819,,PASS,2022.04.04 16:45:50,SST Denali Nextgen#1,36027,2022.04.04 16:44:47,2022.04.04 16:45:50,'00:01:03,'2,-,OK,OK,OK,4,400,24.67,53.8,OK,-,-,-,-,-,-,'0001070000,
KD69H003S4,application-v0.0.0.107.srec,5.45632,-,'BG95M3LAR02A03_0,'864593055296494,'89460800235135945016,-,-,6.76728,25.4582,,PASS,2022.04.04 17:01:26,SST Denali Nextgen#1,36027,2022.04.04 17:00:24,2022.04.04 17:01:26,'00:01:02,'2,-,OK,OK,OK,4,400,24.78,53.6,OK,-,-,-,-,-,-,'0001070000,
KD69H001X4,application-v0.0.0.107.srec,5.45385,-,'BG95M3LAR02A03_0,'864593055297195,'89460800235135944043,-,-,7.1299,27.0048,,PASS,2022.04.04 17:03:22,SST Denali Nextgen#1,36027,2022.04.04 17:02:28,2022.04.04 17:03:22,'00:00:54,'2,-,OK,OK,OK,4,400,24.72,54,OK,-,-,-,-,-,-,'0001070000,
KD69H002F4,application-v0.0.0.107.srec,5.45621,-,'BG95M3LAR02A03_0,'864593055297526,'89460800235135944050,-,-,7.03568,27.8383,,PASS,2022.04.04 17:20:11,SST Denali Nextgen#1,36027,2022.04.04 17:19:08,2022.04.04 17:20:11,'00:01:03,'2,-,OK,OK,OK,4,400,24.67,54.3,OK,-,-,-,-,-,-,'0001070000,
