Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,Fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KM19900XE4,Denali-v01.00.03.0005-14OCT22.mot,4.85305,65.4277,'BG96MAR02A07M1G,'866770057430341,'89460800235147173169,22.80090,32.76874714,5.29282,21.8039,-,PASS,2022.10.28 18:17:20,SST Denali#3,5221018004740,71118,2022.10.28 18:12:59,2022.10.28 18:17:20,'00:04:21,OK,'E0022501AB1A542F,4118165,'0000000005,3.69367,OK,OK,OK,1,529,25.87479,56.70471,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM19900Z64,Denali-v01.00.03.0005-14OCT22.mot,4.84853,58.6622,'BG96MAR02A07M1G,'866770057484777,'89460800235147190460,12.46562,32.7684084734198,5.51673,27.1394,-,PASS,2022.10.28 19:38:24,SST Denali#3,5221018002821,71118,2022.10.28 19:34:34,2022.10.28 19:38:24,'00:03:50,OK,'E0022501A41847A2,4123063,'0000000005,3.67684,OK,OK,OK,1,703,25.2446,59.29565,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM19900YS4,Denali-v01.00.03.0005-14OCT22.mot,4.83862,70.8916,'BG96MAR02A07M1G,'866770056336028,'89460800235147173748,34.68337,32.7691365045845,5.43767,24.1501,-,PASS,2022.10.28 19:24:06,SST Denali#3,5221018005889,71118,2022.10.28 19:20:33,2022.10.28 19:24:06,'00:03:33,OK,'E0022501A00ACAEB,4122029,'0000000005,3.70256,OK,OK,OK,1,699,25.37811,57.29523,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM19900YV4,Denali-v01.00.03.0005-14OCT22.mot,4.85845,57.4801,'BG96MAR02A07M1G,'866770057490311,'89460800235147164952,11.27173,32.768369352098,5.31863,27.8287,-,PASS,2022.10.29 21:20:58,SST Denali#3,5221018005961,71047,2022.10.29 21:17:04,2022.10.29 21:20:58,'00:03:54,OK,'E0022501A00884F8,4129627,'0000000005,3.68781,OK,OK,OK,1,701,24.4809,60.94513,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM19900ZE4,Denali-v01.00.03.0005-14OCT22.mot,4.86619,43.9325,'BG96MAR02A07M1G,'866770057451453,'89460800235147170652,24.19509,32.7687928247926,5.60504,25.8041,-,PASS,2022.10.28 16:20:35,SST Denali#3,5221018005108,71118,2022.10.28 16:17:11,2022.10.28 16:20:35,'00:03:24,OK,'E0022501AB1AF4DA,4114395,'0000000005,3.6953,OK,OK,OK,1,711,25.49828,56.68335,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KKY9900QC4,Denali-v01.00.03.0005-14OCT22.mot,4.82355,45.1925,'BG96MAR02A07M1G,'866770057494784,'89460800235144006453,26.23596,32.7688597,5.40581,29.801,-,PASS,2022.10.28 12:59:15,SST Denali#3,5220923006144,71118,2022.10.28 12:56:57,2022.10.28 12:59:15,'00:02:18,OK,'E00225019F534747,4122290,'0000000005,3.68597,OK,OK,OK,1,576,24.90013,60.89783,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM199017R4,Denali-v01.00.03.0005-14OCT22.mot,4.84753,56.0986,'BG96MAR02A07M1G,'866770057443344,'89460800235147170348,23.94177,32.7687845239044,5.25921,21.3617,-,PASS,2022.10.28 15:57:51,SST Denali#3,5221018004362,71118,2022.10.28 15:53:56,2022.10.28 15:57:51,'00:03:55,OK,'E0022501A00812CB,4114713,'0000000005,3.68605,OK,OK,OK,1,705,25.6852,56.59332,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM199015V4,Denali-v01.00.03.0005-14OCT22.mot,4.83907,90.9854,'BG96MAR02A07M1G,'866770057416472,'89460800235147161180,31.21979,32.76902301,5.41692,26.4224,-,PASS,2022.10.30 00:04:04,SST Denali#3,5221018002917,71047,2022.10.30 00:00:-09,2022.10.30 00:04:04,'00:04:13,OK,'E0022501A00B4B83,4129148,'0000000005,3.68103,OK,OK,OK,1,568,24.3367,59.67407,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KKY9900PJ4,Denali-v01.00.03.0005-14OCT22.mot,4.85851,45.4285,'BG96MAR02A07M1G,'866770056393334,'89460800235144007022,18.85603,32.7686178742723,5.33649,25.9277,-,PASS,2022.10.28 09:17:40,SST Denali#3,5220923005494,71118,2022.10.28 09:15:11,2022.10.28 09:17:40,'00:02:29,OK,'E00225019FFF68C4,4133657,'0000000005,3.65898,OK,OK,OK,1,716,24.48624,64.95209,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
KM19901564,Denali-v01.00.03.0005-14OCT22.mot,4.84817,58.6796,'BG96MAR02A07M1G,'866770057448301,'89460800235147170330,19.48849,32.7686385989064,5.65914,25.6105,-,PASS,2022.10.28 15:57:23,SST Denali#3,5221018002988,71118,2022.10.28 15:53:55,2022.10.28 15:57:23,'00:03:28,OK,'E0022501A00541C6,4110661,'0000000005,3.68717,OK,OK,OK,1,711,25.81871,56.60095,OK,PASS,PASS,PASS,PASS,PASS,PASS,0100030005
